lineage,R
BA.2.12,-5.7359938621521
BA.2.12.1,5.017228603363037
BA.2.12.2,13.555174827575684
BA.2.13,4.7289862632751465
BA.2.13.1,12.479039192199707
BA.2.14,-7.577864170074463
BA.2.15,-0.5055404901504517
BA.2.17,-12.154444694519043
BA.2.18,4.738593578338623
BA.2.19,-15.190943717956543
BA.2.2,-13.35153579711914
BA.2.2.1,-45.89346694946289
BA.2.20,-6.586366653442383
BA.2.21,-8.744938850402832
BA.2.22,-0.10164766013622284
BA.2.23,-2.654942750930786
BA.2.23.1,-5.133022308349609
BA.2.24,-4.005105972290039
BA.2.25,-13.76921558380127
BA.2.26,-12.0731201171875
BA.2.27,-6.93064022064209
BA.2.28,0.7201004028320312
BA.2.29,-1.3266897201538086
BA.2.3,-11.007377624511719
BA.2.3.1,-8.039050102233887
BA.2.3.10,-9.361100196838379
BA.2.3.11,-4.5366973876953125
BA.2.3.12,-10.57304573059082
BA.2.3.13,-8.305879592895508
BA.2.3.14,-7.541084289550781
BA.2.3.15,-8.461877822875977
BA.2.3.16,-10.494172096252441
BA.2.3.17,-15.39649486541748
BA.2.3.2,-3.2901978492736816
BA.2.3.20,50.089725494384766
BA.2.3.21,1.6031872034072876
BA.2.3.4,-9.65597152709961
BA.2.3.5,-13.6707181930542
BA.2.3.6,-4.917455673217773
BA.2.3.7,17.307451248168945
BA.2.3.8,-16.469959259033203
BA.2.3.9,-8.107743263244629
BA.2.30,-4.088846206665039
BA.2.31,-7.127800941467285
BA.2.31.1,1.445539951324463
BA.2.32,-9.793635368347168
BA.2.33,-3.9693570137023926
BA.2.34,-4.2565107345581055
BA.2.35,8.360209465026855
BA.2.36,1.7023907899856567
BA.2.37,-9.032716751098633
BA.2.38,8.020452499389648
